country,x,y
Portugal,-292,-155
Spain,-251,-170
France,-181,-101
Italy,-81,-129
Switzerland,-114,-108
Germany,-105,-49
Luxembourg,-130,-60
Liechtenstein,-92,-91
Belgium,-150,-49
Netherlands,-133,-29
CzechRepublic,-57,-60
Austria,-57,-98
Slovenia,-46,-112
Croatia,-32,-118
Bosnia and Herzegovina,-14,-130
Hungary,-13,-91
Slovakia,-9,-73
Poland,-24,-31
Montenegro,-15,-140
Albania,19,-161
North Macedonia,34,-151
Greece,36,-178
Kosovo,23,-139
Serbia,16,-115
Bulgaria,65,-135
Romania,38,-101
Ukraine,65,-42
Moldova,80,-68
Belarus,41,-6
Russia,99,65
Lithuania,12,17
Latvia,20,36
Estonia,17,59
Turkey,150,-157
Armenia,275,-101
Georgia,244,-86
Finland,-3,105
Sweden,-65,56
Norway,-113,83
Denmark,-97,14
United Kingdom,-204,-18
Ireland,-254,-8
Iceland,-267,149
Andorra,-177,-143
Cyprus,186,-202
